17:44:24.958 [atcher-4] INFO     a.e.s.Slf4jLogger - Slf4jLogger started
17:44:24.980 [atcher-4] DEBUG  a.event.EventStream - logger log1-Slf4jLogger started
17:44:24.987 [atcher-4] DEBUG  a.event.EventStream - Default Loggers started
17:44:25.161 [    main] DEBUG           tph.IrcBot - nickname = TPHBot
17:44:37.642 [    main] DEBUG           tph.IrcBot - connected to irc.freenode.net
17:44:37.642 [    main] DEBUG           tph.IrcBot - joined #tph
17:44:37.646 [atcher-2] DEBUG    t.r.ircLogicTests - received handled message Start
17:44:37.647 [atcher-2] DEBUG    t.r.ircLogicTests - received handled message Full Test
17:44:37.654 [atcher-4] DEBUG         tph.ircLogic - received handled message Start Tests
17:44:37.656 [atcher-6] DEBUG  t.research.IrcVoter - nickname = voter1
17:44:37.656 [atcher-4] DEBUG         tph.ircLogic - received handled message Start Game
17:44:37.665 [atcher-4] DEBUG       tph.Controller - received handled message ChangeMenu(mainMenu,inGame)
17:44:37.669 [atcher-4] DEBUG         tph.ircLogic - received handled message Skip Mulligan
17:44:37.670 [atcher-4] DEBUG         tph.ircLogic - received handled message Turn Start
17:44:37.671 [atcher-4] DEBUG       tph.Controller - received handled message GetGameStatus
17:44:37.673 [atcher-4] DEBUG    tph.LogFileReader - Game Status Cleared
17:44:37.673 [atcher-4] DEBUG    tph.LogFileReader - Reader file changed to testsituations/normalsetup.txt
17:44:37.677 [atcher-4] DEBUG       tph.GameStatus - received handled message GameOver()
17:44:37.794 [atcher-5] INFO     tph.LogFileReader - Friendly Player: 1, Enemy Player: 2
17:44:37.794 [atcher-5] DEBUG       tph.GameStatus - received handled message DefinePlayers(1)
17:44:37.795 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card One id=1 zone=HAND zonePos=1 cardId=some player=1] pos from 0 -> 1
17:44:37.795 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card One,1,1,1)
17:44:37.796 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Two id=2 zone=HAND zonePos=2 cardId=some player=1] pos from 0 -> 2
17:44:37.796 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Three id=3 zone=HAND zonePos=3 cardId=some player=1] pos from 0 -> 3
17:44:37.797 [atcher-5] INFO     tph.LogFileReader - Known Card Drawn: some id=0 local=False [name=Friendly Card Four id=4 zone=HAND zonePos=4 cardId=some player=1] pos from 0 -> 4
17:44:37.797 [atcher-5] DEBUG       tph.GameStatus - received handled message KnownCardDrawn(Friendly Card Two,2,2,1)
